16:37:36 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:37 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:38 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:39 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:40 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:41 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:42 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:43 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:44 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:45 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:46 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:47 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:48 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:49 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:50 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:51 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:52 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:53 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:54 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:55 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:56 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:57 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:58 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:59 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:38:00 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:38:01 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:38:02 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:38:03 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
